step,total_reward,format,verdict,mutation_type,mutation_point,provenance,source_reliability,hallucination_penalty,brier_penalty,missing_fields,missing_keys,partial_credit,parse_error,completion_preview
30,-0.1,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_type', 'mutation_doc_id', 'confidence'}",0.0,,"{   ""mutation_point"": 3,   ""position"": 41,   ""context"": ""The Upper Dawnton River"
31,0.17,0.05,0.0,0.0,0.0,0.12,0.11,-0.03,-0.08,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
32,-0.1,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_type', 'mutation_doc_id', 'confidence'}",0.0,,"{   ""mutation_point"": 2,   ""position"": 57,   ""context"": ""A field study documente"
33,-0.1,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_type', 'mutation_doc_id', 'confidence'}",0.0,,"{   ""mutation_point"": 3,   ""position"": 40,   ""context"": ""A NASA-funded study con"
34,0.17,0.05,0.0,0.0,0.0,0.12,0.11,-0.03,-0.08,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
35,-0.1,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_type', 'mutation_doc_id', 'confidence'}",0.0,,"{""mutation_point"": 2,  ""position"": 49,  ""context"": ""Clearwater County approved a"
36,0.9707,0.05,0.3,0.18,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
37,-0.1,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_type', 'mutation_doc_id', 'confidence'}",0.0,,"{   ""mutation_point"": 2,   ""position"": 40,   ""context_before"": ""A field study do"
38,-0.1,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_type', 'mutation_doc_id', 'confidence'}",0.0,,"{   ""mutation_point"": 2,   ""position"": 51,   ""context_before"": ""Axon Semiconduct"
39,0.9707,0.05,0.3,0.18,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
40,0.17,0.05,0.0,0.0,0.0,0.12,0.11,-0.03,-0.08,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
41,-0.1,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_type', 'mutation_doc_id', 'confidence'}",0.0,,"{   ""mutation_point"": 2,   ""position"": 67,   ""context_before"": ""Clearwater Count"
42,0.7907,0.05,0.3,0.0,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
43,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_point"": 2,   ""position"": 51,   ""context_before"": ""Harmon Aerospace"
44,-0.1,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_type', 'mutation_doc_id', 'confidence'}",0.0,,"{   ""mutation_point"": 3,   ""position"": 47000,   ""context_before"": ""The Upper Daw"
45,0.7907,0.05,0.3,0.0,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
46,0.9982,0.05,0.3,0.18,0.18,0.18,0.11,-0.0,-0.0018,,,,,"{   ""verdict"": ""true"",   ""mutation_type"": ""none"",   ""mutation_doc_id"": null,   """
47,0.17,0.05,0.0,0.0,0.0,0.12,0.11,-0.03,-0.08,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
48,-0.15,-0.15,,,,,,,,,,,1.0,"{   ""mutation_point"": 2,   ""position"": ""Paragraph 3"",   ""context_before"": ""Break"
49,-0.1,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_type', 'mutation_doc_id', 'confidence'}",0.0,,"{   ""mutation_point"": 2,   ""position"": 99,   ""context_before"": ""Researchers demo"
50,-0.15,-0.15,,,,,,,,,,,1.0,"{   ""mutation_point"": 2,   ""position"": 93,   ""context_before"": ""The Kestrel Alli"
51,0.7907,0.05,0.3,0.0,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
52,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_point"": 3,   ""position"": ""probability"",   ""context_before"": ""appro"
53,-0.1,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_type', 'mutation_doc_id', 'confidence'}",0.0,,"{   ""mutation_point"": 2,   ""position"": ""risk ratio"",   ""context_before"": ""Short "
54,0.9982,0.05,0.3,0.18,0.18,0.18,0.11,-0.0,-0.0018,,,,,"{   ""verdict"": ""true"",   ""mutation_type"": ""none"",   ""mutation_doc_id"": null,   """
55,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_point"": 2,   ""position"": ""point 4"",   ""context_before"": ""A nationa"
56,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_point"": 2,   ""position"": ""Title"",   ""context_before"": ""National Pe"
57,0.7907,0.05,0.3,0.0,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distorted_value"",   ""mutation_doc_id"
58,-0.1,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_type', 'mutation_doc_id', 'confidence'}",0.0,,"{   ""mutation_point"": 2,   ""position"": ""year"",   ""context_before"": ""In Q3 2023, "
59,-0.1,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_type', 'mutation_doc_id', 'confidence'}",0.0,,"{   ""mutation_point"": 2,   ""position"": ""Title"",   ""context_before"": ""Harborview "
60,0.7907,0.05,0.3,0.0,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
61,-0.04,-0.05,,,,,,,,1.0,{'verdict'},0.06,,"{   ""mutation_point"": ""DOC-0CDB"",   ""position"": ""test chip"",   ""mutation_type"": "
62,0.7907,0.05,0.3,0.0,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
63,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_point"": 2,   ""position"": ""Title"",   ""context_before"": ""Upper Dawnt"
64,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_point"": 2,   ""position"": ""notional value"",   ""mutation_type"": ""fig"
65,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_point"": 2,   ""position"": ""title"",   ""context_before"": ""News: Globa"
66,0.9982,0.05,0.3,0.18,0.18,0.18,0.11,-0.0,-0.0018,,,,,"{   ""verdict"": ""true"",   ""mutation_type"": ""none"",   ""mutation_doc_id"": null,   """
67,0.9707,0.05,0.3,0.18,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
68,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_point"": 2,   ""position"": ""title"",   ""context_before"": ""Westbrook I"
69,-0.08,-0.05,,,,,,,,1.0,"{'mutation_doc_id', 'mutation_type', 'confidence'}",0.02,,"{   ""verdict"": ""distorted"",   ""mutation_point"": 3,   ""mutation_position"": ""progr"
70,0.9707,0.05,0.3,0.18,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
71,0.7907,0.05,0.3,0.0,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
72,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_point"": 2,   ""position"": ""title"",   ""context_before"": ""Centre for "
73,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_point"": 2,   ""position"": ""Title"",   ""context_before"": ""National ho"
74,-0.1,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_type', 'mutation_doc_id', 'confidence'}",0.0,,"{   ""mutation_point"": 2,   ""position"": ""primary outcome"",   ""from"": ""6.2"",   ""to"
75,-0.1,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_type', 'mutation_doc_id', 'confidence'}",0.0,,"{   ""mutation_point"": 2,   ""position"": ""title"",   ""context_before"": ""News: Merid"
76,-0.15,-0.15,,,,,,,,,,,1.0,"{   ""mutation_point"": 3,   ""position"": ""news account"",   ""mutation_type"": ""figur"
77,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_point"": 2,   ""position"": ""Breaking"",   ""mutation_type"": ""adsverb"","
78,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_point"": 2,   ""position"": ""Title"",   ""mutation_type"": ""figure"",   """
79,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_point"": 2,   ""mutation_position"": ""34"",   ""mutation_type"": ""figure"
80,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_point"": 2,   ""position"": ""Title"",   ""mutation_type"": ""adjective-di"
81,0.9707,0.05,0.3,0.18,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
82,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_point"": 2,   ""position"": ""Q1 2024"",   ""mutation_type"": ""figure"",  "
83,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_point"": 3,   ""mutation_position"": ""primary driver"",   ""mutation_ty"
84,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_point"": 2,   ""position"": ""Title"",   ""mutation_type"": ""verb"",   ""co"
85,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_point"": 2,   ""position"": ""Title"",   ""mutation_type"": ""adjective"", "
86,-0.15,-0.15,,,,,,,,,,,1.0,"{   ""mutation_point"": 2,   ""position"": ""Title"",   ""mutation_type"": ""adjective"", "
87,0.7907,0.05,0.3,0.0,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
88,0.7907,0.05,0.3,0.0,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
89,0.9707,0.05,0.3,0.18,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
90,-0.15,-0.15,,,,,,,,,,,1.0,"{   ""mutation_point"": 2,   ""position"": ""news"",   ""mutation_type"": ""figure"",   ""m"
91,-0.15,-0.15,,,,,,,,,,,1.0,"{   ""mutation_point"": ""DOC-DC27"",   ""position"": ""Westport Industrial Corridor"", "
92,0.9982,0.05,0.3,0.18,0.18,0.18,0.11,-0.0,-0.0018,,,,,"{   ""verdict"": ""true"",   ""mutation_type"": ""none"",   ""mutation_doc_id"": null,   """
93,0.9707,0.05,0.3,0.18,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
94,0.62,0.05,0.0,0.18,0.18,0.18,0.11,-0.0,-0.08,,,,,"{   ""verdict"": ""accurate"",   ""mutation_type"": ""none"",   ""mutation_doc_id"": null,"
95,0.7907,0.05,0.3,0.0,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
96,0.7907,0.05,0.3,0.0,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
97,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_point"": 3,   ""mutation_position"": ""affected 1,100 employees"",   ""m"
98,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_point"": 2,   ""mutation_position"": ""Title"",   ""mutation_type"": ""ver"
99,-0.15,-0.15,,,,,,,,,,,1.0,"{   ""mutation_point"": 2,   ""mutation_position"": ""news heading"",   ""mutation_type"
100,-0.15,-0.15,,,,,,,,,,,1.0,"{   ""mutation_point"": 2,   ""mutation_position"": ""Total notional value"",   ""mutat"
101,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_point"": 2,   ""mutation_position"": ""12 words"",   ""mutation_type"": """
102,0.9707,0.05,0.3,0.18,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
103,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_point"": 2,   ""mutation_position"": ""Breaking"",   ""mutation_type"": """
104,0.9707,0.05,0.3,0.18,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
105,0.9707,0.05,0.3,0.18,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
106,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_point"": 2,   ""mutation_position"": ""Contract Value"",   ""mutation_ty"
107,0.9707,0.05,0.3,0.18,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
108,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_point"": 2,   ""mutation_position"": ""News: Country Y Ministry of Com"
109,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_point"": 2,   ""mutation_position"": ""Adaptive immune response (antib"
110,0.7907,0.05,0.3,0.0,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
111,0.9982,0.05,0.3,0.18,0.18,0.18,0.11,-0.0,-0.0018,,,,,"{   ""verdict"": ""true"",   ""mutation_type"": ""none"",   ""mutation_doc_id"": null,   """
112,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_point"": 2,   ""mutation_position"": ""Condition-specific reductions s"
113,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_point"": 2,   ""mutation_position"": ""None"",   ""mutation_type"": ""cont"
114,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_point"": 2,   ""mutation_position"": ""Country Y imposed export contro"
115,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_point"": 2,   ""mutation_position"": ""Official contract announcement"""
116,0.9982,0.05,0.3,0.18,0.18,0.18,0.11,-0.0,-0.0018,,,,,"{   ""verdict"": ""true"",   ""mutation_type"": ""none"",   ""mutation_doc_id"": null,   """
117,0.7907,0.05,0.3,0.0,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
118,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_point"": 2,   ""mutation_position"": ""Title"",   ""mutation_type"": ""mis"
119,0.9707,0.05,0.3,0.18,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
120,0.9707,0.05,0.3,0.18,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
121,0.7907,0.05,0.3,0.0,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
122,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_point"": 2,   ""mutation_position"": ""Contract Value"",   ""mutation_ty"
123,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_point"": 2,   ""mutation_position"": ""NOTE 7 — WORKFORCE RESTRUCTURIN"
124,0.7907,0.05,0.3,0.0,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
125,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_point"": 2,   ""mutation_position"": ""Breaking"",   ""mutation_type"": """
126,0.26,0.05,0.0,0.0,0.0,0.18,0.11,-0.0,-0.08,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
127,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_point"": 2,   ""mutation_position"": ""Breaking: Meridian Stock Exchan"
128,1.0,0.05,0.3,0.18,0.18,0.18,0.11,-0.0,-0.0,,,,,"{   ""verdict"": ""true"",   ""mutation_type"": ""none"",   ""mutation_doc_id"": null,   """
129,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_point"": 2,   ""mutation_position"": ""Third sentence"",   ""mutation_ty"
130,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_point"": 2,   ""mutation_position"": ""PackageFast Logistics reduced l"
131,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_point"": 2,   ""mutation_position"": ""Contract Value: $4,712,400 vs. "
132,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_point"": 2,   ""mutation_position"": ""The Meridian Stock Exchange lau"
133,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_point"": 2,   ""mutation_position"": ""Harborview City Council ANNOUNC"
134,0.26,0.05,0.0,0.0,0.0,0.18,0.11,-0.0,-0.08,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
135,1.0,0.05,0.3,0.18,0.18,0.18,0.11,-0.0,-0.0,,,,,"{   ""verdict"": ""true"",   ""mutation_type"": ""none"",   ""mutation_doc_id"": null,   """
136,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_point"": ""DOC-0002"",   ""mutation_position"": ""Axon Semiconductor tap"
137,0.7907,0.05,0.3,0.0,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
138,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_point"": 2,   ""mutation_position"": ""The 99.7% two-qubit gate fideli"
139,0.9707,0.05,0.3,0.18,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
140,1.0,0.05,0.3,0.18,0.18,0.18,0.11,-0.0,-0.0,,,,,"{   ""verdict"": ""true"",   ""mutation_type"": ""none"",   ""mutation_doc_id"": null,   """
141,0.26,0.05,0.0,0.0,0.0,0.18,0.11,-0.0,-0.08,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
142,-0.06,-0.05,,,,,,,,1.0,"{'verdict', 'confidence'}",0.04,,"{   ""mutation_point"": ""Upper Dawnton River Basin Restoration Programme — Phase I"
143,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_point"": 2,   ""mutation_position"": ""Breaking: Apex Logistics shocks"
144,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_point"": 2,   ""mutation_position"": ""Breaking"",   ""mutation_type"": """
